Close Predicho,Close Real,Rendimiento
65933.3515625,65967.28,-0.0514322213982429
65966.9921875,66006.0,-0.0590973737236008
66005.9375,65970.01,0.0544603525147339
65970.03125,66009.94,-0.060458697584034
66009.6171875,66163.6,-0.2327304023662645
66163.375,66179.48,-0.024335337781433
66179.421875,66164.22,0.0229759755348114
66164.21875,66322.0,-0.2379018274479056
66322.0,66041.19,0.4252043308123274
66039.875,66040.0,-0.0001892792247122
66039.890625,66100.0,-0.0909370272314674
66100.0,66026.42,0.111440238619634
66026.421875,66145.98,-0.1807488905599341
66146.3359375,66208.59,-0.094027168529033
66208.59375,66331.98,-0.1860132171540725
66331.9765625,66327.37,0.0069451909520981
66327.5546875,66326.0,0.0023440091366884
66326.9453125,66355.0,-0.0422796887951171
66355.0,66316.24,0.0584472219775951
66310.234375,66374.0,-0.0960701856148491
